# Emoji Keywords — emoji<TAB>kw1 kw2 kw3 ...
#
# Per-emoji search synonyms attached as invisible rofi metadata, alongside
# the cluster aliases in emoji-aliases.txt. Matched by the rofi filter,
# never displayed in the picker rows.
#
# Format
#   <emoji><TAB>keyword<SPACE>keyword<SPACE>...
#
# Notes
#   - Comments start with #. Blank lines ignored.
#   - The same emoji may be repeated; the handler merges all occurrences.
#   - Read by ~/.config/sway/scripts/emoji-modi-handler on every picker launch.
#
# The first 545 entries below were generated from
# /usr/share/oh-my-zsh/plugins/emoji/gemoji_db.json (CLDR aliases + tags,
# deduped against the description and stopwords). Manual additions to
# extend coverage and refine search are appended below the auto block.

# === Auto (gemoji-derived) ===
0️⃣	zero
🎲	dado azar suerte random juego-de-mesa
🧩	rompecabezas pieza jigsaw encajar armar
🧸	osito peluche juguete oso plush
🪅	posada cumpleaños cumpleanos dulces fiesta palo
🪩	disco discoteca antro esfera fiesta
🪆	matrioska matryoshka rusa muñecas munecas russian
♠️	picas espadas naipes baraja cartas
♥️	corazones baraja naipes cartas rojo
♦️	diamantes rombo baraja naipes rojo
♣️	tréboles treboles baraja naipes cartas negro
♟️	peón peon ajedrez tablero jaque checkmate
🃏	comodín comodin wildcard bufón bufon carta baraja
🀄	ficha chino china rojo oriental
🎴	naipes baraja koikoi japón japon flor
🎭	teatro máscaras mascaras comedia tragedia actuación actuacion
🖼️	cuadro marco museo pintura foto
🎨	paleta pintar colores dibujar pintor
🧵	hilo costura carrete coser spool
🪡	aguja coser hilo costura stitch
🧶	estambre lana tejer knit crochet
🪢	nudo cuerda amarrar rope tie
👓	lentes anteojos gafas vista miopía miopia
🕶️	lentes-de-sol gafas sol playa deal-with-it
🥽	visor natación natacion buceo seguridad protección proteccion
🥼	bata científico cientifico doctor laboratorio médico medico
🦺	chaleco reflectante construcción construccion seguridad obra
👔	corbata traje oficina negocios elegante
👕	playera camiseta ropa casual tee
👖	pantalón pantalon mezclilla denim vaqueros ropa
🧣	bufanda frío frio invierno cuello winter
🧤	guantes manos frío frio invierno mitones
🧥	abrigo chamarra jacket invierno frío frio
🧦	calcetines calcetas pies medias ropa
👗	vestido moda fiesta elegante mujer
👘	japón japon yukata oriental seda
🥻	india hindú hindu vestido tela indian
🩱	traje-de-baño traje-de-bano bañador banador playa alberca nadar
🩲	calzón calzon calzoncillos ropa-interior underwear speedo
🩳	pantalón-corto pantalon-corto bermudas verano calor playa
👙	traje-de-baño traje-de-bano verano playa alberca swimsuit
🪭	abanico calor aire flamenco ventilar
👛	monedero cartera bolsa dinero cambio
👜	bolsa bolso cartera moda accesorio
👝	bolsita cartera monedero fiesta noche
🛍️	compras bolsas tienda plaza ofertas
🎒	mochila escuela útiles utiles viaje estudiante
🩴	chancla flip-flop playa sandalia verano
👞	zapato calzado mocasín mocasin vestir caballero
👟	tenis zapatilla correr deporte gym
🥾	bota senderismo montaña montana trekking excursión excursion calzado
🥿	zapatilla balerina mocasín mocasin calzado loafer
👠	tacón tacon stiletto zapatilla fiesta pumps
🩰	puntas bailarina danza dance pointe
🪮	peine afro cabello comb peinar
👑	corona realeza rey reina monarquía monarquia
🎩	sombrero copa elegante mago formal
🎓	graduación graduacion birrete egresado diploma escuela
🧢	gorra cachucha visera baseball beisbol
🪖	casco soldado ejército ejercito army guerra
⛑️	casco rescate paramédico paramedico obra construcción construccion
📿	rosario cuentas rezar oración oracion budismo
💄	labial pintalabios maquillaje belleza bilé bile
💍	anillo sortija compromiso boda propuesta
💎	diamante joya brillante lujo cristal
🔇	silencio silenciar bocina altavoz mudo
🔈	bocina altavoz bajito suave
🔉	bocina altavoz sonido volumen medio
🔊	bocina altavoz ruidoso máximo maximo subir
📢	bocina altavoz aviso anuncio difundir
📣	megáfono megafono grito porra protesta altavoz
📯	corneta cuerno correo clarín clarin cartero
🔔	campana campanita timbre alarma aviso
🔕	silenciar mudo silencio dnd notificaciones
🎼	partitura pentagrama clave-de-sol notas solfeo
🎵	nota canción cancion cantar audio mp3
🎶	notas melodía melodia canción cancion cantar ritmo
🎙️	micrófono microfono mic locutor grabar entrevista
🎚️	fader deslizador consola ecualizador sonido
🎛️	perillas mezcladora consola mixer estudio
🎤	micrófono microfono karaoke cantante voz mic
🎧	audífonos audifonos auriculares cascos escuchar diadema
📻	estéreo estereo emisora sintonizar noticias fm
🎷	saxofón saxofon sax blues viento banda
🎺	trompeta mariachi banda viento tocar
🪊	trombón trombon vara viento banda jazz
🪗	acordeón acordeon norteño norteno fuelle corrido polka
🎸	guitarra cuerdas acústica acustica eléctrica electrica tocar
🎹	teclado teclas sintetizador órgano organo melodía melodia
🎻	violín cuerdas arco orquesta sinfónica sinfonica
🪕	cuerdas country bluegrass folk instrumento
🥁	tambor batería bateria redoble tocar banda
🪘	tambor conga djembe percusión percusion africano
🪇	sonaja ritmo percusión percusion salsa agitar
🪈	flauta viento soplar orquesta melodía melodia
🪉	arpa cuerdas celestial orquesta ángel angel
📱	celular móvil movil android teléfono telefono app
📲	celular descargar llamada recibir mensaje
☎️	teléfono telefono fijo llamar marcar antiguo
📞	auricular llamada marcar contestar hablar
📟	bíper biper localizador buscapersonas mensaje 90s
📠	facsímil facsimil documento papel enviar impresión impresion
🔋	batería bateria pila carga energía energia llena
🪫	pila batería bateria descargada agotada cargar
🔌	enchufe clavija corriente conectar cable
💻	portátil portatil computadora compu lap trabajo
🖥️	computadora pantalla escritorio torre cpu
🖨️	impresora imprimir tinta hoja copia
⌨️	teclado escribir mecánico mecanico teclear qwerty
🖱️	ratón raton clic inalámbrico inalambrico periférico periferico scroll

# --- Enrichment pass 2026-08-01: chunks 018, 019, 020, 021, 022, 023 ---
🖲️	ratón raton bola mouse puntero esfera
💽	disco md sony almacenamiento retro
💾	disquete diskette guardar respaldo retro
💿	disco compacto quemar música musica datos
📀	disco película pelicula video reproductor datos
🧮	ábaco abaco contar calcular matemáticas matematicas math
🎥	cámara camara cine grabar rodaje filmadora
🎞️	rollo película pelicula negativo celuloide fotograma
📽️	proyector proyección proyeccion película pelicula sala pantalla
🎬	claqueta acción accion rodaje corte take
📺	tele televisor pantalla canal serie
📷	cámara camara foto lente retrato fotografía fotografia
📸	foto flashazo selfie paparazzi destello
📹	videocámara videocamara grabar filmar camcorder handycam
📼	cinta casete betamax rebobinar retro
🔍	lupa buscar investigar detective find
🔎	lupa buscar zoom search inspeccionar
🕯️	vela veladora luto apagón apagon romántico romantico
💡	foco bombilla luz ocurrencia invento
🔦	linterna lámpara lampara apagón apagon alumbrar pilas
🏮	farol farolillo japón japon china festival
🪔	diwali india candil aceite hindú hindu
📔	cuaderno libreta agenda apuntes diario
📕	libro novela lectura rojo terminado
📖	libro leer abierto lectura novela
📗	libro verde guía guia lectura texto
📘	libro azul diccionario texto guía guia
📙	libro naranja lectura texto guía guia
📚	libros biblioteca estudiar escuela lectura
📓	cuaderno libreta apuntes notas escolar
📒	libreta contabilidad cuentas registro amarillo
📃	hoja página pagina documento impreso texto
📜	pergamino papiro rollo diploma antiguo
📄	hoja papel archivo documento file
📰	periódico periodico noticias diario titular prensa
🗞️	periódico periodico diario prensa repartidor enrollado
📑	pestañas pestanas separadores índice indice organizar archivo
🔖	marcador favorito señalador senalador guardar libro
🏷️	etiqueta oferta descuento rebaja categoría categoria
🪙	moneda cambio morralla peso oro
💰	dinero lana bolsa riqueza ganancia
🪎	cofre tesoro pirata botín botin oro
💴	billete dinero japonés japones tokio divisa
💵	billete efectivo usd lana dinero
💶	billete dinero eur divisa europeo
💷	libra esterlina billete gbp reino-unido
💸	gasto gastar alas derroche broke
💳	tarjeta pago débito debito banco compra
🧾	recibo ticket factura comprobante cuenta
💹	gráfica grafica alza bolsa ganancia subida
✉️	sobre carta correo mensaje contacto
📧	correo sobre mail arroba mensaje
📨	correo recibido entrante sobre mensaje
📩	enviar correo sobre salida mandar
📤	bandeja salida enviados subir exportar
📥	bandeja entrada descargar recibidos importar
📦	paquete caja envío envio entrega pedido
📫	buzón buzon correo cartas bandera pendiente
📪	buzón buzon correo vacío vacio sin-cartas bandera
📬	buzón buzon correo cartas aviso recibido
📭	buzón buzon correo vacío vacio empty sin-correo
📮	buzón buzon correo enviar send cartero
🗳️	urna votar sufragio boleta comicios
✏️	lápiz lapiz escribir dibujar write draw
✒️	plumilla tinta firmar escribir sign
🖋️	pluma estilográfica estilografica firmar escribir signature
🖊️	bolígrafo boligrafo pluma lapicero escribir firmar
🖌️	pincel pintar brocha artista acuarela
🖍️	crayón colorear cera niños ninos escolar
📝	apuntes tarea escribir recado examen
💼	maletín maletin portafolio trabajo oficina work
📁	carpeta archivo documentos guardar dir
📂	carpeta abrir archivos explorar documentos
🗂️	separadores carpetas clasificar archivero pestañas pestanas
📅	calendario fecha agenda mes evento
📆	calendario almanaque fecha agenda día dia
🗒️	libreta cuaderno apuntes bloc anotar
🗓️	calendario agenda mes almanaque planeación planeacion
📇	fichero tarjetero directorio agenda fichas
📈	gráfica grafica alza crecimiento ganancias bullish
📉	gráfica grafica caída caida pérdidas perdidas crisis bearish
📊	gráfica grafica barras datos reporte dashboard
📋	portapapeles copiar pendientes inventario apuntar
📌	tachuela chincheta fijar pin recordatorio
📍	ubicación ubicacion mapa marcador dirección direccion gps
📎	clip sujetar adjunto papelería papeleria broche
🖇️	clips sujetar unir adjuntar papelería papeleria
📏	regla centímetros centimetros medir escuela dibujo
📐	escuadra regla ángulo angulo arquitectura medir
✂️	tijeras cortar recortar snip peluquería peluqueria
🗃️	archivero fichero guardar cajón cajon papeles
🗄️	archivero gaveta cajones expedientes documentos
🗑️	basura bote papelera borrar tirar
🔒	candado cerrado seguro contraseña contrasena https
🔓	candado abierto desbloqueado acceso inseguro
🔏	candado privacidad firma confidencial nda
🔐	candado llave contraseña contrasena cifrado encrypted
🔑	llave acceso clave abrir login
🗝️	llave cerradura castillo dorada secreto
🔨	martillo clavo construir carpintería carpinteria obra
🪓	hacha leña lena madera cortar leñador lenador chop
⛏️	pico piqueta excavar minero pickaxe
⚒️	martillo pico obrero trabajo construcción construccion
🛠️	martillo herramientas reparar taller ajustes
🗡️	daga puñal punal cuchillo filo traición traicion
⚔️	espadas duelo guerra pvp medieval
💣	bomba explosión explosion dinamita mecha explotar
🪃	bumerán bumeran regresa australia lanzar karma
🏹	arco flecha sagitario arquero cazar
🛡️	escudo defensa blindaje antivirus caballero
🪚	serrucho sierra madera cortar carpintero
🔧	llave perico reparar mecánico mecanico ajustar
🪛	desarmador destornillador tornillo atornillar reparar
🔩	tuerca tornillo perno ferretería ferreteria mecánica mecanica
⚙️	engrane engranaje ajustes configuración configuracion opciones
🗜️	prensa apretar comprimir zip taller
⚖️	balanza equilibrio abogado juicio derecho
🦯	bastón baston ciego invidente accesibilidad blind discapacidad
🔗	enlace liga vínculo vinculo compartir cadena
⛓️‍💥	cadena romper libertad eslabón eslabon desatar
⛓️	cadena eslabón eslabon encadenado atado link
🪝	gancho garfio anzuelo colgar enganchar
🧰	herramientas caja-herramientas taller reparar mecánico mecanico
🧲	imán iman magnético magnetico atraer attract horseshoe
🪜	escalera escalón escalon peldaño peldano subir climb
🪏	pala cavar excavar tierra dig
⚗️	alambique alquimia química quimica destilar laboratorio
🧪	tubo-ensayo probeta experimento laboratorio ciencia
🧫	cultivo bacterias microbio biología biologia germen
🧬	adn genética genetica genoma doble-hélice doble-helice biología biologia
🔬	microscopio células celulas análisis analisis lente zoom
🔭	telescopio espacio universo galaxia cosmos
📡	parabólica parabolica radar transmisión transmision cobertura broadcast
💉	jeringa inyección inyeccion vacuna aguja vaccine
🩸	sangre gota herida donación donacion period
💊	pastilla píldora pildora cápsula capsula medicamento drug
🩹	curita bandaid venda parche herida
🩼	muleta lesión lesion fractura bastón baston injury
🩺	estetoscopio doctor médico medico consulta checkup
🩻	radiografía radiografia huesos esqueleto costillas bones
🚪	puerta salida acceso portón porton exit
🛗	ascensor edificio piso subir lift
🪞	espejo reflejo mirarse vanidad reflection
🪟	ventana vista cristal marco view
🛏️	cama dormir siesta colchón colchon nap
🛋️	sillón sillon sala descansar mueble lámpara lampara
🪑	silla asiento sentarse mueble seat
🚽	baño bano inodoro taza retrete sanitario
🪠	destapacaños destapacanos desatascador plomería plomeria tapado chupón chupon
🚿	regadera ducha bañarse banarse higiene aseo
🛁	tina bañera banera remojo relajarse burbujas
🪤	ratonera trampa queso roedor plaga
🪒	rastrillo afeitar rasurar navaja shave
🧴	crema hidratante shampoo bloqueador sunscreen
🧷	alfiler imperdible seguro broche pañal panal
🧹	escoba barrer limpieza bruja sweep
🧺	canasta cesta ropa picnic laundry
🧻	papel-higiénico papel-higienico sanitario rollo baño bano toiletpaper
🪣	cubeta balde trapear agua pail
🧼	jabón jabon lavar manos espuma higiene
🫧	burbujas espuma pompas jabón jabon soap
🪥	cepillo-dental dientes pasta dentista higiene
🧽	esponja fregar trastes lavar absorber
🧯	extintor incendio emergencia apagar seguridad
🛒	carrito compras mandado despensa checkout
🚬	cigarro fumar tabaco nicotina humo
⚰️	ataúd ataud muerto entierro luto rip
🪦	lápida lapida tumba cementerio panteón panteon rip
⚱️	urna cenizas restos luto duelo
🧿	ojo-turco mal-de-ojo evil-eye protección proteccion talismán talisman
🪬	mano-de-fátima mano-de-fatima amuleto protección proteccion talismán talisman ojo
🗿	estatua isla-de-pascua easter-island cara piedra
🪧	pancarta letrero cartel protesta manifestación manifestacion
🪪	credencial ine licencia gafete badge
🏧	cajero efectivo dinero retirar banco
🚮	basura basurero bote tirar trash
🚰	agua bebedero llave grifo sed
♿	silla-de-ruedas discapacidad accesible rampa handicap
🚹	hombres caballeros baño bano sanitario varones
🚺	mujeres damas baño bano sanitario señoras senoras
🚻	baño bano sanitario bathroom aseo unisex
🚼	bebé bebe pañal panal cambiador lactancia carriola
🚾	baño bano sanitario inodoro retrete letrina
🛂	migración migracion pasaporte visa frontera revisión revision
🛃	aduana declarar impuestos frontera equipaje
🛄	equipaje maletas banda luggage suitcase
🛅	consigna casilleros lockers guardar maletas
⚠️	peligro precaución precaucion cuidado aviso triángulo triangulo
🚸	niños ninos cruce escolar peatones colegio
⛔	prohibido alto restringido paso circular
🚫	prohibido veto banned negado tachado
🚳	bicicleta ciclista prohibido ciclismo ciclovía ciclovia
🚭	fumar cigarro tabaco humo prohibido
🚯	basura tirar contaminar trash tiradero
🚱	agua beber contaminada drink insalubre
🚷	peatones prohibido caminar paso banqueta
📵	celular teléfono telefono apagar prohibido silencio
🔞	adultos mayores 18+ nsfw restringido
☢️	radiación radiacion atómico atomico uranio reactor chernobyl
☣️	biológico biologico virus contaminación contaminacion cuarentena infeccioso
⬆️	arriba subir flecha ascender upload
↗️	noreste diagonal arriba-derecha northeast crecimiento
➡️	derecha siguiente flecha avanzar next
↘️	sureste diagonal southeast caída caida abajo-derecha
⬇️	abajo bajar descargar download flecha
↙️	suroeste diagonal southwest abajo-izquierda bajada
⬅️	izquierda atrás atras regresar flecha anterior
↖️	noroeste diagonal northwest arriba-izquierda subida
↕️	vertical arriba-abajo altura resize doble-flecha
↔️	horizontal ancho izquierda-derecha resize doble-flecha
↩️	regresar responder deshacer undo reply
↪️	reenviar forward redirigir desvío desvio adelante
⤴️	subir elevar aumento rise repunte
⤵️	bajar descender caída caida drop desplome
🔃	recargar actualizar rotar ciclo repetir
🔄	recargar actualizar refresh loop reciclar
🔙	atrás atras volver retroceder devolver
🔚	fin terminar final último ultimo acabar
🔛	encendido prendido activo encender funcionando
🔜	pronto próximamente proximamente ya-mero al-rato coming-soon
🔝	arriba cima máximo maximo primero tope
🛐	oración oracion rezar culto capilla fe
⚛️	átomo atomo electrón electron química quimica react molécula molecula
🕉️	yoga meditación meditacion mantra aum espiritual
✡️	judío judio israel hexagrama sinagoga estrella
☸️	budista rueda karma nirvana meditación meditacion
☯️	equilibrio tao armonía armonia opuestos chino
✝️	cruz crucifijo jesús jesus católico catolico fe
☦️	cruz rusa bizantina eslava griega
☪️	musulmán musulman media-luna mezquita islámico islamico ramadán ramadan
☮️	paz pacifismo antiguerra sesentas armonía armonia
🕎	candelabro velas janucá januca judaísmo judaismo brazos
🔯	estrella hexagrama fortuna esotérico esoterico amuleto
🪯	sij sikh religión religion espadas punjab
♈	carnero marzo horóscopo horoscopo astrología astrologia signo
♉	tauro toro abril horóscopo horoscopo astrología astrologia
♊	géminis geminis gemelos mayo horóscopo horoscopo astrología astrologia
♋	cáncer cangrejo junio horóscopo horoscopo astrología astrologia
♌	león leon julio horóscopo horoscopo astrología astrologia fuego
♍	agosto horóscopo horoscopo astrología astrologia doncella signo
♎	balanza justicia octubre horóscopo horoscopo signo
♏	escorpión escorpion alacrán alacran noviembre horóscopo horoscopo signo
♐	sagitario arquero flecha centauro diciembre
♑	capricornio cabra chivo enero horóscopo horoscopo
♒	acuario aguador febrero horóscopo horoscopo signo
♓	piscis peces marzo horóscopo horoscopo signo
⛎	ofiuco serpentario serpiente culebra horóscopo horoscopo
🔀	aleatorio random mezclar barajar playlist
🔁	repetir bucle ciclo replay otra-vez
🔂	bucle uno canción cancion replay misma-canción misma-cancion
▶️	reproducir iniciar empezar start triángulo triangulo
⏩	adelantar avanzar rápido rapido acelerar ff
⏭️	siguiente saltar próxima proxima canción cancion pasar
⏯️	reproducir pausar alternar espacio
◀️	atrás atras retroceder izquierda regresar triángulo triangulo
⏪	retroceder atrás atras rebobinar regresar retroceso
⏮️	anterior previa canción cancion regresar saltar-atrás saltar-atras
🔼	subir arriba aumentar triángulo triangulo
⏫	subir arriba doble aumentar tope
🔽	bajar abajo descender disminuir triángulo triangulo
⏬	bajar abajo doble descender hasta-abajo
⏸️	pausa espera descanso break dos-barras
⏹️	detener parar alto cuadrado fin
⏺️	grabar grabación grabacion rec círculo circulo rojo
⏏️	expulsar sacar usb desmontar cd
🎦	cine película pelicula proyector pantalla estreno
🔅	brillo atenuar oscurecer tenue pantalla
🔆	brillo iluminar aclarar sol pantalla
📶	señal senal cobertura celular red datos
🛜	wifi inalámbrico inalambrico internet red señal senal hotspot
📳	vibrar celular zumbido modo-vibrar notificación notificacion
📴	apagado apagar celular silencio no-molestar
♀️	mujer femenino hembra chica género genero
♂️	hombre masculino macho varón varon género genero
⚧️	transgénero transgenero identidad género genero queer diversidad
✖️	por equis tache cruz multiplicación multiplicacion
➕	más mas suma sumar agregar añadir anadir add
➖	menos resta restar quitar negativo
➗	división division entre dividir fracción fraccion cociente
🟰	igual igualdad resultado ecuación ecuacion equivalente
♾️	infinito ilimitado eterno sin-fin ocho-acostado
‼️	admiración admiracion urgente énfasis enfasis importante grito
⁉️	duda sorpresa qué que wtf confusión confusion
❓	pregunta duda interrogación interrogacion por-qué por-que incógnita incognita
❔	pregunta duda blanco contorno interrogación interrogacion
❕	admiración admiracion blanco contorno aviso atención atencion
❗	admiración admiracion cuidado ojo aguas rojo
〰️	onda ondulado raya tilde zigzag
💱	cambio divisas tipo-de-cambio yen casa-de-cambio
💲	dólar dolar dinero precio pesos lana
⚕️	médico medico salud hospital farmacia enfermería enfermeria
♻️	reciclaje reciclar basura ecología ecologia sustentable
⚜️	flor-de-lis francia heráldica heraldica escudo realeza
🔱	tridente neptuno mar diablo lanza
📛	gafete nombre credencial escuela japonés japones
🔰	principiante novato aprendiz wakaba hoja
⭕	círculo circulo rojo correcto maru aro
✅	palomita listo hecho verde correcto
☑️	casilla palomita marcado lista seleccionado
✔️	palomita visto correcto tick aprobado
❌	tache equis error rechazado fallo
❎	equis tache verde rechazar denegado
➰	bucle rizo garabato espiral squiggle
➿	voicemail contestadora bucles rizos garabato
〽️	karaoke zigzag partitura canto
✳️	asterisco radios ocho-puntas destello
✴️	estrella destello ocho-picos chispa starburst
❇️	brillo resplandor chispas centella
©️	derechos-de-autor autor propiedad licencia
®️	marca-registrada registro patente letra-r
™️	marca comercial registrada brand
🫟	salpicadura mancha pintura splash gotas
#️⃣	gato numeral almohadilla tecla etiqueta
*️⃣	asterisco estrellita tecla comodín comodin nota-al-pie
0️⃣	cero nada nulo ninguno
1️⃣	uno primero unidad primer-lugar
2️⃣	dos segundo pareja par
3️⃣	tres tercero trío trio triple
4️⃣	cuatro cuarto cuarteto quad
5️⃣	cinco quinto quinteto
6️⃣	seis sexto media-docena
7️⃣	siete séptimo septimo suerte lucky
8️⃣	ocho octavo octeto
9️⃣	nueve noveno novena
🔟	diez décimo decimo decena perfecto
🔠	mayúsculas mayusculas caps teclado bloq-mayus
🔡	minúsculas minusculas letras teclado escribir
🔢	números numeros dígitos digitos cifras teclado
🔣	signos teclado ampersand porcentaje
🔤	abecedario letras teclado texto
🅰️	sangre tipo-a grupo-sanguíneo grupo-sanguineo letra-a
🆎	sangre tipo-ab grupo-sanguíneo grupo-sanguineo donador
🅱️	sangre tipo-b grupo-sanguíneo grupo-sanguineo letra-b
🆑	borrar limpiar resetear cancelar
🆒	chido padre genial buenísimo buenisimo
🆓	gratuito sin-costo cortesía cortesia promo
ℹ️	datos ayuda informes turismo
🆔	credencial identificación identificacion ine usuario
Ⓜ️	subterráneo subterraneo tren estación estacion eme
🆕	nuevo estreno novedad lanzamiento
🆖	mal error rechazado incorrecto
🅾️	sangre tipo-o donador-universal grupo-sanguíneo grupo-sanguineo
🆗	bien correcto listo vale
🅿️	estacionamiento estacionar cochera parqueo
🆘	auxilio socorro rescate ayuda
🆙	subir arriba mejorar nivel
🆚	contra duelo enfrentamiento reto
🈁	aquí aqui acá aca ubicación ubicacion posición posicion
🈂️	propina cobro extra recargo
🈷️	mensual mes mensualidad cuota
🈶	cobro costo cuesta de-paga
🈯	apartado reservación reservacion designado ocupado
🉐	ganga oferta barato provechoso
🈹	descuento rebaja promoción promocion liquidación liquidacion
🈚	gratis gratuito sin-costo cortesía cortesia
🈲	prohibido vetado veto no-permitido
🉑	aceptable permitido aprobado válido valido
🈸	solicitud trámite tramite formulario solicitar
🈴	aprobado aprobar examen admitido
🈳	vacante disponible libre desocupado

# --- Enrichment pass 2026-08-01: chunks 024, 025, 026, 027, 028, 029 ---
㊗️	felicidades enhorabuena kanji japonés japones celebración celebracion
㊙️	secreto privado oculto clasificado kanji
🈺	abierto negocio tienda horario kanji
🈵	lleno agotado cupo sin-lugar kanji
🔴	rojo bolita grabando rec en-vivo
🟠	naranja anaranjado bolita ámbar ambar redondel
🟡	amarillo bolita dorado alerta redondel
🟢	verde bolita activo online disponible
🔵	azul bolita celeste redondel marino
🟣	morado bolita violeta lila redondel
🟤	café cafe bolita marrón marron chocolate redondel
⚫	negro bolita punto relleno
⚪	blanco bolita punto vacío vacio hueco
🟥	rojo cuadro bloque pixel
🟧	naranja cuadro bloque pixel ámbar ambar
🟨	amarillo cuadro bloque pixel dorado
🟩	verde cuadro bloque pixel wordle
🟦	azul cuadro bloque pixel celeste
🟪	morado cuadro bloque violeta lila
🟫	café cafe cuadro bloque marrón marron chocolate
⬛	negro cuadro bloque relleno
⬜	blanco cuadro bloque vacío vacio hueco
◼️	negro cuadro relleno mediano
◻️	blanco cuadro vacío vacio contorno mediano
◾	negro cuadrito relleno chico
◽	blanco cuadrito vacío vacio chico
▪️	negro cuadrito viñeta vineta relleno
▫️	blanco cuadrito viñeta vineta vacío vacio
🔶	rombo diamante naranja ámbar ambar
🔷	rombo diamante celeste zafiro
🔸	rombo diamante naranja chico
🔹	rombo diamante celeste chico
🔺	triángulo triangulo rojo alza subida aumento
🔻	triángulo triangulo rojo baja caída caida descenso
💠	rombo azul decorativo kawaii adorno
🔘	botón boton formulario marcar encuesta
🔳	blanco cuadro recuadro borde
🔲	negro cuadro recuadro borde
🏁	meta carrera fórmula1 formula1 nascar llegada
🚩	bandera roja alerta marcador golf
🎌	banderas japón japon nipón nipon hinomaru
🏴	bandera negra oscura protesta
🏳️	blanca rendirse me-rindo armisticio bandera
🏳️‍🌈	arcoíris arcoiris bandera lgbt orgullo diversidad
🏳️‍⚧️	bandera identidad género genero diversidad
🏴‍☠️	bandera jolly-roger calavera corsario tesoro
🇦🇨	ascensión isla atlántico atlantico georgetown británica britanica
🇦🇩	andorrano pirineos andorra-la-vella europa
🇦🇪	emiratos dubái dubai abu-dabi uae golfo
🇦🇫	afganistán afganistan afgano kabul asia-central
🇦🇬	caribe caribbean antillas saint-johns
🇦🇮	anguila caribe antillas the-valley británica britanica
🇦🇱	albanés albanes tirana balcanes shqiperia
🇦🇲	armenio ereván erevan yerevan cáucaso caucaso
🇦🇴	angoleño angoleno luanda kwanza lusófona lusofona
🇦🇶	antártida antartida polo-sur hielo pingüinos pinguinos
🇦🇷	argentino buenos-aires albiceleste sudamérica sudamerica tango
🇦🇸	pago-pago polinesia pacífico pacifico samoana
🇦🇹	austríaco austriaco viena alpes österreich osterreich
🇦🇺	australiano canberra sydney aussie canguro
🇦🇼	bandera caribe caribbean oranjestad arubeño arubeno antillas
🇦🇽	bandera islas finlandia mariehamn nórdico nordico báltico baltico
🇦🇿	bandera azerbaiyán azerbaiyan bakú baku cáucaso caucaso azerí azeri caspio
🇧🇦	bandera sarajevo balcanes balkans bosnio yugoslavia
🇧🇧	bandera caribe caribbean bridgetown antillas bajan
🇧🇩	bandera daca dhaka bengalí bengali bengala bangladesí bangladesi
🇧🇪	bandera bélgica belgica bruselas brussels belga flandes
🇧🇫	bandera uagadugú uagadugu ouagadougou burkinés burkines sahel volta
🇧🇬	bandera sofía sofia búlgaro bulgaro balcanes balkans
🇧🇭	bandera baréin barein manama golfo pérsico persico
🇧🇮	bandera buyumbura gitega burundés burundes kirundi
🇧🇯	bandera benín porto-novo cotonú cotonu dahomey beninés benines
🇧🇱	bandera saint-barth caribe gustavia francesa antillas
🇧🇲	bandera hamilton atlántico atlantico británica britanica bermudeño bermudeno
🇧🇳	bandera borneo sultanato bruneano bandar-seri-begawan
🇧🇴	bandera la-paz sucre boliviano altiplano andes
🇧🇶	bandera bonaire saba eustaquio caribe neerlandés neerlandes
🇧🇷	bandera brasil brasilia brasileño brasileno amazonas samba
🇧🇸	bandera nassau caribe caribbean bahameño bahameno atlántico atlantico
🇧🇹	bandera bután butan thimphu himalaya dragón dragon butanés butanes
🇧🇻	bandera isla noruega norway subantártico subantartico deshabitada
🇧🇼	bandera gaborone kalahari okavango botsuana
🇧🇾	bandera bielorrusia minsk bielorruso eslavo
🇧🇿	bandera belmopán belmopan centroamérica centroamerica beliceño beliceno caribe
🇨🇦	bandera ottawa maple hoja-de-arce canadiense quebec
🇨🇨	bandera australia índico indico atolón atolon west-island
🇨🇩	bandera rdc drc zaire congoleño congoleno democrática democratica
🇨🇫	bandera centroafricana bangui rca sango
🇨🇬	bandera congoleño congoleno república republica pointe-noire
🇨🇭	bandera suiza berna alpes helvética helvetica cruz
🇨🇮	bandera marfil costa abiyán abiyan yamusukro marfileño marfileno
🇨🇰	bandera islas rarotonga polinesia avarua nueva-zelanda
🇨🇱	bandera santiago chileno andes patagonia
🇨🇲	bandera camerún camerun yaundé yaunde duala camerunés camerunes
🇨🇳	bandera pekín pekin beijing chino estrellas mandarín mandarin
🇨🇴	bandera bogotá bogota colombiano medellín medellin cafetero
🇨🇵	bandera isla francia pacífico pacifico atolón atolon deshabitada
🇨🇶	bandera sercq guernsey normandas británica britanica
🇨🇷	bandera san-josé san-jose tico pura-vida centroamérica centroamerica
🇨🇺	bandera habana cubano caribe antillas
🇨🇻	bandera cabo praia atlántico atlantico caboverdiano islas
🇨🇼	bandera willemstad caribe antillas neerlandés neerlandes curazao
🇨🇽	bandera navidad australia índico indico cangrejos isla
🇨🇾	bandera chipre nicosia mediterráneo mediterraneo chipriota isla
🇨🇿	bandera chequia praga checo bohemia praha
🇩🇪	bandera alemania berlín berlin alemán aleman deutschland germano
🇩🇬	bandera chagos índico indico atolón atolon británica britanica base-militar
